id,name,latitude,longitude,elevation
02267,ORNSKOLDSVIK,63.3,18.68,24.0
02366,TIMRA/MIDLANDA,62.52,17.45,3.0
02830,KITTILA,67.7,24.85,196.0
02876,OULU,65.02,25.38,3.0
02929,JOENSUU APT,62.67,29.63,119.0
02948,SAVONLINNA,61.95,28.95,95.0
04097,DALATANGI,65.27,-13.58,9.0
04320,DANMARKSHAVN,76.77,-18.67,11.0
06011,FAROEER,62.02,-6.77,54.0
08501,FLORES/AZOREN,39.45,-31.13,28.0
08521,FUNCHAL,32.68,-16.77,58.0
08589,CAP VERDEN/PRAIA,14.9,-23.52,27.0
17280,DIYARBAKIR,37.88,40.2,687.0
20087,OSTROV GOLOMJANNYJ,79.55,90.62,8.0
22550,ARCHANGELSK,64.58,40.5,13.0
23256,TAZOVSKOE,67.47,78.73,8.0
23734,OKTJABRSKOE,62.45,66.05,72.0
24266,VERHOJANSK,67.55,133.38,137.0
27113,CEREPOVEC,59.25,37.97,114.0
27719,TULA,54.23,37.62,165.0
28382,UST-ISIM,57.68,71.18,62.0
28952,KUSTANAI,53.22,63.62,156.0
30054,VITIM,59.45,112.58,190.0
30710,IRKUTSK,52.27,104.35,485.0
31300,ZEJA,53.7,127.3,229.0
32053,NOGLIKI,51.92,143.13,34.0
32408,UST'KAMCHATSK,56.22,162.72,27.0
35108,URALSK,51.25,51.28,37.0
35358,TORGAI,49.63,63.5,123.0
37171,SOTSCHI,43.45,39.9,16.0
38353,BISHKEK,42.85,74.53,756.0
38696,SAMARKAND,39.57,66.95,724.0
38954,KHOROG,37.5,71.52,2077.0
40375,TABUK,28.38,36.6,778.0
40582,KUWAIT,29.22,47.98,55.0
40747,SANANDAJ,35.33,47.0,1373.0
40768,HAMEDAN,34.87,48.53,1749.0
40848,SHIRAZ,29.53,52.58,1486.0
41030,MAKKAH,21.43,39.77,240.0
41196,SHARJAH,25.33,55.52,35.0
41244,BURAIMI,24.23,55.78,299.0
41255,NIZWA,22.85,57.53,492.0
41262,FAHUD,22.35,56.48,170.0
41267,QALHAT,22.67,59.4,11.0
41312,RAYSUT PORT,16.92,53.92,33.0
41571,ISLAMABAD,33.62,73.1,507.0
41749,NAWABSHAH,26.25,68.37,37.0
41978,CHITTAGONG,22.27,91.82,4.0
42369,LUCKNOW,26.75,80.88,122.0
43128,HYDERABAD AIRPORT,17.45,78.47,530.0
43466,COLOMBO,6.9,79.87,7.0
44275,BAYANBULAG,46.83,98.08,2255.0
44454,KATHMANDU,27.7,85.37,1337.0
47016,HYESAN,41.4,128.17,715.0
47058,PYONGYANG,39.03,125.78,36.0
47108,SEOUL,37.57,126.97,86.0
47136,ANDONG,36.57,128.72,140.0
47152,ULSAN,35.55,129.32,32.0
47412,SAPPORO,43.05,141.33,17.0
47590,SENDAI,38.27,140.9,39.0
47746,TOTTORI / HONSHU,35.48,134.23,15.0
47815,OITA,33.23,131.62,5.0
